movieNm,audiAcc,openDt,movieCd,movieNmEn,prdtYear,typeNm,nations,genres,directors,actors,watchGradeNm,distributors,search_4w_before,search_2w_before,search_1w_before,search_opening,search_1w_after,max_search,avg_search,search_volatility,search_growth_rate,director_power,actor_power,ticket_power,genre_애니메이션,genre_어드벤처,genre_사극,genre_SF,genre_멜로/로맨스,genre_다큐멘터리,genre_뮤지컬,genre_판타지,genre_공연,genre_전쟁,genre_공포(호러),genre_서부극(웨스턴),genre_드라마,genre_액션,genre_범죄,genre_기타,genre_스릴러,genre_성인물(에로),genre_코미디,genre_미스터리,genre_가족,genre_Unknown,release_month,release_quarter,release_year,release_dayofweek,is_weekend,season,season_fall,season_spring,season_summer_peak,season_winter_peak,distributor_freq,distributor_target,watchGrade_encoded
분노의 질주: 더 얼티메이트,2290975,2021-05-19,20205041,Fast & Furious 9 THE FAST SAGA,2021.0,장편,미국,액션,저스틴 린,"빈 디젤,존 시나,성 강,샤를리즈 테론,미셸 로드리게즈",12세이상관람가,유니버설픽쳐스인터내셔널 코리아(유),18.6,44.3,73.6,69.5,45.4,73.6,45.86666666666667,22.630746047505077,2.9569892473118276,28339.5,3657537.0,2205857.9999999995,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5.0,2.0,2021.0,2.0,0,spring,False,True,False,False,66.0,676705.0454545454,1
분노의 질주: 더 익스트림,3657537,2017-04-12,20167542,The Fast and The Furious 8,2017.0,장편,"미국,일본,프랑스,캐나다","액션,범죄,스릴러",F. 게리 그레이,"빈 디젤,드웨인 존슨,샤를리즈 테론,제이슨 스타뎀,스콧 이스트우드",15세이상관람가,유니버설픽쳐스인터내셔널 코리아(유),13.4,37.4,60.5,75.7,47.5,75.7,44.38333333333333,21.987579827408627,3.514925373134328,28339.5,28339.5,28339.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,4.0,2.0,2017.0,2.0,0,spring,False,True,False,False,66.0,676705.0454545454,4
분노의 질주: 라이드 오어 다이,1771324,2023-05-17,20231592,Fast X,2023.0,장편,미국,액션,루이스 리테리어,"빈 디젤,제이슨 모모아,제이슨 스타뎀,샤를리즈 테론,브리 라슨",15세이상관람가,유니버설픽쳐스인터내셔널 코리아(유),12.6,41.5,50.6,76.2,52.1,76.2,41.78333333333334,23.6661291018761,3.015873015873016,28339.5,2974256.0,1795889.4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5.0,2.0,2023.0,2.0,0,spring,False,True,False,False,66.0,676705.0454545454,4
불도저에 탄 소녀,12408,2022-04-07,20217298,The Girl on a Bulldozer,2021.0,장편,한국,드라마,박이웅,"김혜윤,박혁권,오만석,예성,박시우",15세이상관람가,트윈플러스파트너스(주),5.0,7.0,8.7,12.0,5.8,12.0,7.25,2.7186393655650614,0.7399999999999999,28339.5,105880.0,74863.8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4.0,2.0,2022.0,3.0,0,spring,False,True,False,False,10.0,18853.9,4
불량한 가족,605,2020-07-09,20208828,Road Family,2019.0,장편,한국,"코미디,드라마",장재일,"박원상,도지한,김다예,박초롱,서지희",12세이상관람가,"(주)스톰픽쳐스코리아,와이드 릴리즈(주)",7.2,15.5,19.7,29.2,15.0,29.2,16.3,7.6042093606107395,1.7361111111111112,28339.5,28339.5,28339.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,7.0,3.0,2020.0,3.0,0,summer_peak,False,False,True,False,4.0,1441.0,1
불릿 트레인,139036,2022-08-24,20225448,Bullet Train,2022.0,장편,미국,액션,데이빗 레이치,"브래드 피트,조이 킹,애론 테일러 존슨,브라이언 타이리 헨리,배드 버니",청소년관람불가,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,7.7,12.7,18.1,20.3,12.4,20.3,13.483333333333334,4.844137350103388,1.3506493506493509,8742.0,58760.5,38753.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8.0,3.0,2022.0,2.0,0,summer_peak,False,False,True,False,29.0,539643.9310344828,13
브레드이발소: 셀럽 인 베이커리타운,200628,2024-03-01,20247437,Bread Barbershop : Celeb in Bakery Town,2024.0,장편,한국,애니메이션,정지환,"엄상현,박윤희,강시현,홍범기,김현욱",전체관람가,롯데컬처웍스(주)롯데엔터테인먼트,8.5,17.6,28.1,38.1,24.9,38.1,21.666666666666668,10.866584866767788,2.3058823529411767,28339.5,59824.41176470588,47230.44705882353,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,1.0,2024.0,4.0,0,fall,True,False,False,False,45.0,1070198.6666666667,11
브레이브 언더 파이어,14348,2021-03-17,20216361,FIRE,2020.0,장편,러시아,액션,오윤동,"콘스탄틴 카벤스키,이반 얀콥스키",12세이상관람가,(주)박수엔터테인먼트,5.0,14.1,21.0,25.6,14.6,25.6,14.866666666666665,7.5687955889075695,3.2,28339.5,28339.5,28339.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3.0,1.0,2021.0,2.0,0,fall,True,False,False,False,25.0,15190.44,1
브레이크 더 사일런스: 더 무비,125355,2020-09-24,20204684,Break the Silence: The Movie,2020.0,장편,한국,다큐멘터리,박준수,"김남준,김석진,민윤기,정호석,박지민",전체관람가,씨지브이 아이스콘,6.8,16.8,26.3,33.1,26.7,33.1,20.35,9.97692337346539,2.8676470588235294,338097.0,338097.0,338097.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0,3.0,2020.0,3.0,0,fall,True,False,False,False,4.0,44415.0,11
브로커,1255885,2022-06-08,20206257,Broker,2022.0,장편,한국,드라마,고레에다 히로카즈,"송강호,강동원,배두나,이지은,이주영",12세이상관람가,(주)씨제이이엔엠,30.9,46.1,66.5,69.8,56.1,69.8,49.93333333333334,17.167022650030688,1.1521035598705502,28339.5,10300613.0,6191703.6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6.0,2.0,2022.0,2.0,0,spring,False,True,False,False,46.0,1145749.5869565217,1
